#{"t_start": 1626357090.0719523, "env_id": "Taxi-v3"}
r,l,t
2,10,31.455665
11,10,31.456063
4,8,31.456415
-17,20,31.457143
-3,15,31.457633
-14,17,31.458168
-7,19,31.458754
8,13,31.459168
-6,18,31.459792
8,13,31.460231
8,13,31.460839
1,11,31.461441
5,16,31.4622
5,16,31.462832
-36,39,31.464246
-4,16,31.464918
1,11,31.465512
8,13,31.466275
-7,19,31.467232
-4,16,31.467835
11,10,31.468299
-6,27,31.469213
-2,14,31.469727
9,12,31.470217
-2,14,31.47078
0,21,31.471998
-10,22,31.473281
1,20,31.474082
9,12,31.474556
5,16,31.475079
-30,24,31.475893
-3,15,31.476424
6,15,31.477148
3,18,31.477829
3,18,31.478503
-3,15,31.479188
10,11,31.479601
-16,19,31.480265
3,9,31.480589
6,15,31.481138
8,13,31.481652
0,21,31.48277
-15,18,31.483664
6,15,31.484173
8,13,31.484597
8,13,31.485037
2,10,31.485394
6,15,31.485885
-2,14,31.486362
-10,22,31.487053
4,17,31.487646
3,18,31.488206
13,8,31.488476
-7,28,31.489355
-1,13,31.489882
-1,13,31.490505
9,12,31.490964
7,14,31.49141
3,18,31.492009
-3,24,31.492746
-63,39,31.493988
8,13,31.494497
-3,15,31.495112
9,12,31.495632
-13,16,31.496293
1,20,31.497078
-18,21,31.497891
2,19,31.498599
6,15,31.499405
8,13,31.500268
-21,15,31.500806
9,12,31.501226
-27,21,31.50189
-1,22,31.502575
5,16,31.503073
11,10,31.503395
-6,27,31.504248
-4,16,31.504748
1,20,31.505486
4,17,31.506321
10,11,31.506838
6,15,31.50739
8,13,31.507872
-2,14,31.508384
6,15,31.508946
-5,17,31.509562
9,12,31.51003
-16,19,31.510836
9,12,31.511356
-14,17,31.512076
3,18,31.513253
-10,22,31.514241
9,12,31.514698
6,15,31.515202
-6,18,31.515813
5,16,31.516358
5,16,31.516942
14,7,31.517222
-5,17,31.518173
6,15,31.518991
3,18,31.519643
-15,18,31.520259
-2,23,31.520957
6,15,31.521431
-11,14,31.52242
8,13,31.523163
-16,19,31.523959
5,16,31.524558
4,17,31.525268
-23,17,31.525882
-2,14,31.526343
9,12,31.526793
8,13,31.527311
12,9,31.52774
-1,22,31.52856
-2,14,31.529137
2,19,31.529872
-6,18,31.530677
11,10,31.531082
13,8,31.53143
11,10,31.531827
7,14,31.532357
-5,17,31.533218
7,14,31.534
-7,19,31.534641
-6,18,31.53521
6,15,31.535727
8,13,31.536132
-3,15,31.536697
-6,18,31.537374
5,16,31.537874
0,21,31.538531
4,17,31.539054
-12,15,31.539603
-16,28,31.5406
-17,20,31.541238
-2,14,31.541728
5,16,31.542239
-6,18,31.542789
10,11,31.543229
-1,13,31.543765
-3,15,31.544327
0,12,31.54485
-4,16,31.54565
3,18,31.546781
7,14,31.547349
9,12,31.547805
5,16,31.548371
-2,14,31.548863
4,17,31.549469
8,13,31.550194
-7,19,31.55096
8,13,31.551458
-1,13,31.551991
-16,19,31.552664
-11,14,31.553146
7,14,31.553597
7,14,31.554068
10,11,31.554443
-19,22,31.555166
4,17,31.555778
12,9,31.556222
6,15,31.556804
-16,19,31.557548
9,12,31.558004
6,15,31.558585
-5,17,31.559178
1,20,31.559921
-3,15,31.560516
6,15,31.561086
5,16,31.561704
3,18,31.562364
10,11,31.562864
9,12,31.563433
-10,22,31.564309
7,14,31.564986
10,11,31.565475
3,18,31.5661
-7,19,31.56679
5,16,31.567349
4,17,31.56799
12,9,31.568352
-3,15,31.568907
-7,19,31.569655
-12,15,31.570216
-15,18,31.571001
9,12,31.571431
9,12,31.571931
11,10,31.572278
8,13,31.572718
10,11,31.573123
3,18,31.57378
6,15,31.574302
10,11,31.574669
5,16,31.575233
3,18,31.575954
-2,14,31.576436
-16,19,31.577184
7,14,31.57776
8,13,31.578697
8,13,31.579533
4,17,31.580638
-10,22,31.581839
8,13,31.58254
11,10,31.582967
4,17,31.583528
12,9,31.583952
2,19,31.584605
2,19,31.585197
-23,26,31.586237
-7,19,31.587213
-12,24,31.588054
13,8,31.588353
3,9,31.58875
0,12,31.58924
12,9,31.589641
11,10,31.590065
10,11,31.590622
3,18,31.591253
-4,16,31.591893
7,14,31.592375
12,9,31.592731
-18,21,31.593598
3,18,31.594291
0,21,31.595328
0,12,31.596122
-4,16,31.597101
4,17,31.598065
5,16,31.599045
11,10,31.599538
5,16,31.600204
-6,18,31.60099
0,12,31.601446
10,11,31.601816
-6,18,31.60246
-4,16,31.603306
0,12,31.603771
-8,29,31.604677
9,12,31.605183
-6,18,31.605871
10,11,31.606381
7,14,31.606983
9,12,31.607465
0,12,31.607966
3,18,31.608553
9,12,31.609028
3,18,31.609666
2,19,31.610501
-5,17,31.611284
5,16,31.611982
9,12,31.612733
-7,19,31.613971
5,16,31.615017
6,15,31.615901
4,17,31.616712
-5,26,31.617765
9,12,31.6185
13,8,31.618977
3,18,31.619814
5,16,31.620503
6,15,31.6211
10,11,31.621608
14,7,31.622041
11,10,31.622505
8,13,31.623195
3,18,31.624152
6,15,31.624916
-7,19,31.626298
-2,14,31.627175
-6,27,31.628266
7,14,31.629015
10,11,31.629704
-5,26,31.631155
3,18,31.632143
2,19,31.632979
15,6,31.633278
5,16,31.634245
-17,20,31.635051
8,13,31.635493
3,18,31.636336
8,13,31.636793
10,11,31.637218
4,17,31.637758
13,8,31.638033
3,9,31.63837
11,10,31.638759
6,15,31.639271
7,14,31.639778
-10,13,31.640298
-2,14,31.640831
-1,13,31.641282
10,11,31.641644
-4,16,31.642264
-6,18,31.642886
6,15,31.643458
-13,25,31.644344
8,13,31.644935
11,10,31.645487
0,21,31.646603
8,13,31.647369
-16,19,31.648656
12,9,31.649301
3,18,31.64995
-15,18,31.650734
9,12,31.651313
6,15,31.651995
10,11,31.652408
-5,17,31.652973
-6,18,31.653568
10,11,31.653932
3,18,31.654509
5,16,31.655002
9,12,31.655449
3,18,31.656301
11,10,31.656728
-13,16,31.657481
-6,18,31.658139
7,14,31.658643
7,14,31.659085
10,11,31.659611
3,18,31.660388
3,18,31.661052
-6,18,31.661701
-1,13,31.662272
11,10,31.662697
-6,18,31.663421
11,10,31.663863
10,11,31.664276
2,19,31.664961
3,18,31.665905
0,12,31.66661
-2,23,31.667884
-2,23,31.669055
-15,18,31.669805
11,10,31.670213
2,19,31.67088
11,10,31.671223
5,16,31.67177
8,13,31.672191
4,17,31.67276
-1,13,31.673277
-1,22,31.674082
7,14,31.674557
7,14,31.675014
3,18,31.675587
9,12,31.67613
7,14,31.676587
6,15,31.677222
11,10,31.677593
-2,14,31.678109
-7,19,31.679173
14,7,31.679651
6,15,31.680568
-6,18,31.68152
9,12,31.682148
-10,22,31.682982
4,17,31.683649
6,15,31.684166
10,11,31.68452
-2,23,31.685246
6,15,31.685723
4,17,31.686245
12,9,31.686543
-16,19,31.687141
-8,20,31.6878
-1,13,31.688216
-3,15,31.688729
4,17,31.689265
7,14,31.689954
6,15,31.690829
-22,16,31.691495
1,20,31.692286
6,15,31.692907
7,14,31.693431
5,16,31.694077
-7,19,31.694839
9,12,31.695458
-2,14,31.696242
7,14,31.697092
9,12,31.697774
-4,16,31.698616
9,12,31.699261
7,14,31.699876
-1,13,31.700401
9,12,31.700885
8,13,31.70134
14,7,31.701591
8,13,31.702009
-16,19,31.70261
2,19,31.703204
-7,19,31.703957
13,8,31.704331
14,7,31.704594
7,14,31.705057
4,17,31.706033
-13,16,31.706751
11,10,31.707181
4,17,31.707978
9,12,31.708474
-12,15,31.708966
-7,10,31.70931
5,16,31.709852
8,13,31.710398
1,20,31.711119
6,15,31.711699
-13,16,31.712363
4,17,31.713137
6,15,31.713768
2,19,31.714555
-2,14,31.71522
10,11,31.715871
10,11,31.7163
2,19,31.717
1,11,31.717462
-7,19,31.718119
1,11,31.718523
-4,16,31.719052
9,12,31.719559
7,14,31.720109
6,15,31.720608
-19,22,31.7214
7,14,31.721908
9,12,31.722385
-14,17,31.723025
9,12,31.723542
2,10,31.723942
5,16,31.72454
-5,17,31.725108
-5,17,31.725646
6,15,31.726145
-25,19,31.726901
-20,23,31.727821
7,14,31.728442
6,15,31.729062
-4,16,31.729679
-5,17,31.730348
8,13,31.730803
-13,16,31.731407
8,13,31.731918
-5,17,31.732866
1,20,31.733552
6,15,31.734056
-14,17,31.73462
5,16,31.73513
-5,17,31.735743
2,19,31.736344
6,15,31.736817
6,15,31.737283
8,13,31.737688
7,14,31.738135
-2,14,31.73858
5,16,31.739079
7,14,31.739681
-6,27,31.740563
5,16,31.741081
-14,26,31.741878
13,8,31.742153
0,21,31.742801
-19,22,31.7435
-11,23,31.744336
10,11,31.744807
2,10,31.745244
4,17,31.746443
3,18,31.747487
-4,16,31.748444
-7,19,31.749434
-12,15,31.750188
6,15,31.750772
8,13,31.751373
7,14,31.751882
12,9,31.752188
6,15,31.752656
-14,17,31.753265
5,16,31.753768
0,21,31.754416
10,11,31.754772
7,14,31.755211
8,13,31.755669
4,17,31.756333
11,10,31.756803
5,16,31.757397
1,20,31.758076
-8,20,31.758828
8,13,31.759666
6,15,31.760235
13,8,31.760748
11,10,31.761171
-6,9,31.761652
5,16,31.762309
1,11,31.762863
4,17,31.763532
8,13,31.764327
1,20,31.765044
5,16,31.765658
9,12,31.766165
10,11,31.766561
9,12,31.766958
7,14,31.767422
4,17,31.767998
-4,16,31.768563
0,12,31.769065
12,9,31.769371
9,12,31.769814
8,13,31.770295
8,13,31.770715
-1,13,31.771157
-4,16,31.771693
4,17,31.772255
6,15,31.772895
3,18,31.773495
11,10,31.773927
1,20,31.774628
-1,13,31.775056
3,18,31.775669
7,14,31.776107
6,15,31.776655
5,16,31.777179
5,16,31.777777
-2,14,31.778344
-5,17,31.77897
4,17,31.779532
-13,16,31.780193
-4,16,31.780751
5,16,31.781369
4,17,31.781983
12,9,31.782405
8,13,31.782973
8,13,31.783467
15,6,31.783718
1,11,31.784088
-13,16,31.784615
-7,10,31.785033
0,21,31.78586
-1,13,31.786342
0,12,31.786796
-6,18,31.787382
8,13,31.787876
-44,29,31.788822
11,10,31.789215
2,19,31.789871
-1,13,31.790428
7,14,31.790866
14,7,31.791178
6,15,31.791718
-8,20,31.792347
-3,15,31.792815
-8,20,31.793541
5,16,31.794163
12,9,31.794564
2,19,31.795295
5,16,31.795901
-14,17,31.796604
2,19,31.797307
7,14,31.797784
6,15,31.798397
5,16,31.799031
13,8,31.799438
-4,16,31.800232
8,13,31.800745
6,15,31.801407
5,16,31.802188
3,18,31.803133
-8,20,31.803867
13,8,31.804168
2,10,31.804549
0,12,31.804939
6,15,31.805422
4,17,31.806036
8,13,31.806549
-5,17,31.807262
9,12,31.807752
11,10,31.80813
7,14,31.808779
-5,17,31.809348
-14,17,31.809893
-8,20,31.810888
-5,17,31.811803
-2,14,31.812579
4,17,31.813596
-5,26,31.814786
7,14,31.81544
6,15,31.816185
14,7,31.8166
0,12,31.817221
12,9,31.817817
9,12,31.818568
4,17,31.819402
-17,20,31.820235
-2,14,31.820864
6,15,31.821522
5,16,31.822206
3,18,31.822982
10,11,31.823513
7,14,31.824197
8,13,31.824788
9,12,31.825336
1,20,31.826202
-7,19,31.826982
6,15,31.82764
-3,15,31.828355
-17,20,31.829207
4,17,31.830173
-15,18,31.831128
6,15,31.831703
6,15,31.832269
8,13,31.832798
0,21,31.83352
9,12,31.833961
5,16,31.834508
13,8,31.834835
1,11,31.835253
-26,20,31.835975
4,17,31.836545
-7,19,31.837224
7,14,31.837703
-5,17,31.838302
9,12,31.838735
9,12,31.839153
-1,22,31.839913
7,14,31.840449
-6,18,31.841146
-2,14,31.841655
9,12,31.842061
3,18,31.842662
2,19,31.843351
-1,13,31.843869
4,8,31.844396
6,15,31.844996
10,11,31.845605
4,17,31.846559
7,14,31.847249
-8,20,31.84801
7,14,31.848491
7,14,31.848964
10,11,31.849351
-1,13,31.850003
