#{"t_start": 1626516810.1146882, "env_id": "LunarLander-v2"}
r,l,t
153.904957,308,1465.553859
170.267751,571,1471.304246
152.634399,358,1474.745265
100.804752,1000,1484.765455
-72.241509,146,1486.121938
-108.375168,170,1487.731431
-145.117796,138,1489.012373
-116.329807,139,1490.277683
194.644184,365,1493.702314
-73.83469,201,1495.584118
221.050294,232,1497.810091
-88.409036,180,1504.392464
-347.99794,465,1509.0782
-118.58753,91,1509.931289
-81.755784,150,1511.370831
-87.714332,226,1513.531105
-99.702034,133,1514.770905
-157.632671,482,1519.357909
222.698087,390,1523.066554
254.304046,431,1527.454504
312.105669,260,1530.160203
216.030914,489,1535.221396
35.435955,299,1538.319736
251.962978,308,1541.267127
274.602605,307,1544.405465
221.777429,601,1550.687205
276.288394,388,1554.714446
195.993327,454,1559.453229
220.936174,385,1563.413816
214.307351,409,1567.521183
256.207662,480,1572.373418
209.952432,390,1576.385936
170.321668,268,1579.189905
233.70905,309,1582.017459
155.405403,487,1587.056422
-186.793682,627,1593.108641
257.559728,280,1595.81035
287.684839,309,1599.015199
-45.652961,91,1599.971612
219.468167,392,1603.875072
-92.945194,141,1605.433162
196.568444,764,1613.073611
163.044385,394,1617.064789
148.498483,647,1623.409124
191.788563,829,1631.901943
208.351414,531,1637.288636
247.608686,390,1641.277492
167.67932,491,1646.377327
240.973622,560,1651.887561
-83.523076,239,1654.402222
-138.50189,761,1661.884772
-127.636083,150,1663.545839
189.67423,474,1668.161772
194.46474,374,1671.754843
-37.445842,183,1673.407376
-26.866762,225,1675.507705
-52.400718,200,1677.385321
-17.422468,199,1679.259878
163.135613,457,1683.547125
232.94494,645,1690.037083
-36.836048,167,1691.871617
-102.284237,199,1701.436992
-60.100405,190,1703.28182
249.673195,288,1706.057311
-128.556028,396,1710.098393
227.963018,675,1716.770802
7.321632,207,1718.973341
206.158864,696,1725.988175
241.853318,290,1729.022672
-174.277028,236,1731.505818
199.285313,437,1735.850163
212.934544,328,1739.338346
146.382427,975,1749.387718
190.156606,289,1752.159739
266.245346,680,1758.908577
257.682381,436,1763.32522
233.898127,660,1770.162481
235.024082,670,1777.075407
254.996601,339,1780.600311
236.580965,596,1786.691437
267.453173,290,1789.771123
244.296546,515,1795.194926
210.939743,987,1805.363619
271.479561,399,1809.586857
250.373424,698,1816.742395
252.711003,491,1821.797322
225.482509,576,1827.741357
224.084575,661,1834.668816
257.187916,357,1838.425765
248.810166,399,1842.513385
235.741199,302,1845.678799
291.593578,272,1848.520266
271.7892,338,1852.092787
252.48621,398,1856.202481
252.130932,350,1859.902135
249.207848,440,1864.397099
282.114626,261,1867.179082
130.608227,1000,1877.592549
217.829733,519,1882.741431
258.42155,667,1889.727406
255.834815,456,1894.599799
266.86458,336,1898.131755
-23.830011,117,1899.404045
46.051016,208,1901.474505
234.924673,292,1904.267981
234.578215,251,1906.968555
282.244607,591,1912.92524
294.425747,382,1916.921912
249.493135,254,1919.629305
191.724991,464,1924.468986
257.342908,503,1929.463876
-35.830689,157,1942.503769
-51.176026,205,1944.518285
240.232229,483,1949.107845
263.961252,259,1951.881018
241.199139,310,1955.151199
174.763066,491,1960.33025
180.343083,511,1965.449365
219.231063,532,1970.718988
240.540349,851,1979.517598
220.738187,328,1982.975693
175.57165,663,1989.999947
269.832323,300,1992.954264
-37.486098,190,1995.040903
-24.666282,155,1996.54794
209.514079,185,1998.325319
-78.77109,117,1999.628925
-213.612855,277,2002.465368
-186.479992,126,2003.661672
-95.825837,106,2004.671658
-208.947755,399,2008.605788
8.93634,208,2010.885657
267.159165,220,2012.949733
294.495952,503,2018.169489
27.465501,248,2020.852347
-64.490189,199,2022.757002
-233.924783,477,2027.613242
230.484477,341,2031.017726
261.841982,345,2034.638312
17.882281,230,2037.126918
-3.585381,114,2038.217669
1.162161,182,2040.25611
218.665025,644,2046.624758
27.187712,118,2047.962831
313.970504,386,2051.74264
271.509773,480,2056.674773
-75.948219,1000,2067.444808
257.523912,543,2072.939833
278.5489,306,2076.218297
231.798518,316,2079.619483
263.582498,464,2084.389645
286.129126,310,2087.63899
217.132346,808,2096.1057
-23.809335,375,2100.014827
243.101734,377,2103.780509
242.2743,331,2107.231788
153.551042,608,2113.459844
251.977607,314,2116.521923
-102.494196,740,2124.21539
15.294401,88,2125.075116
